net_gain,phase,amplitude_lc,frequency_lc
4.167088607594937,1.9883497807530337,1.912283158186074e-12,0.0
4.167088607594937,2.0678837719831553,2.602265061136662e-13,0.0
4.167088607594937,2.1474177632132765,6.6402773865178295e-15,0.0
4.167088607594937,2.2269517544433977,9.665300555322244e-14,0.0
4.167088607594937,2.3064857456735193,1.744325943743878e-15,0.0
4.167088607594937,2.3860197369036404,4.682738132468366e-15,0.0
4.167088607594937,2.465553728133762,8.493822770660845e-14,0.0
4.167088607594937,2.5450877193638832,1.0099188638241879e-12,0.0
4.167088607594937,2.6246217105940044,6.287261881152701e-15,0.0
4.167088607594937,2.704155701824126,6.595902250072544e-14,0.0
4.167088607594937,2.783689693054247,7.100370916053206e-13,0.0
4.167088607594937,2.863223684284369,9.316311212697871e-15,0.0
4.167088607594937,2.94275767551449,1.2831980350471135e-12,0.0
4.167088607594937,3.022291666744611,1.9550156996378377e-14,0.0
4.167088607594937,3.1018256579747328,5.88171290985827e-13,0.0
4.167088607594937,3.181359649204854,1.8253207896936808e-13,0.0
4.167088607594937,3.2608936404349755,1.6015844093690392e-14,0.0
4.167088607594937,3.3404276316650967,1.7201947986593206e-14,0.0
4.167088607594937,3.419961622895218,1.1895027602342825e-13,0.0
4.167088607594937,3.4994956141253395,5.075589485162048e-14,0.0
4.167088607594937,3.5790296053554607,3.6662756628993826e-14,0.0
4.167088607594937,3.6585635965855823,1.6290630369190478e-14,0.0
4.167088607594937,3.7380975878157034,4.273622139126904e-13,0.0
4.167088607594937,3.817631579045825,1.2979249854795746e-13,0.0
4.167088607594937,3.8971655702759462,2.5610564435011092e-14,0.0
4.167088607594937,3.9766995615060674,1.470102232818556e-14,0.0
4.167088607594937,4.056233552736189,5.4697875016282374e-14,0.0
4.167088607594937,4.135767543966311,2.25640856767971e-14,0.0
4.167088607594937,4.215301535196431,1.2141510306998896e-13,0.0
4.167088607594937,4.294835526426553,1.7551628098551717e-13,0.0
4.167088607594937,4.374369517656675,9.515846785932452e-14,0.0
4.167088607594937,4.453903508886795,7.896586799218325e-14,0.0
4.167088607594937,4.533437500116917,1.7877474589819042e-14,0.0
4.167088607594937,4.6129714913470385,1.6686329757563644e-12,0.0
4.167088607594937,4.692505482577159,2.152044427241865e-13,0.0
4.167088607594937,4.772039473807281,3.820450684723558e-14,0.0
4.167088607594937,4.8515734650374025,5.427723277507492e-14,0.0
4.167088607594937,4.931107456267524,1.2037302658077801e-14,0.0
4.167088607594937,5.010641447497645,1.037416831833214e-14,0.0
4.167088607594937,5.0901754387277665,7.212274055128146e-13,0.0
4.167088607594937,5.169709429957888,6.185541313489732e-15,0.0
4.167088607594937,5.249243421188009,8.229876796824783e-14,0.0
4.167088607594937,5.32877741241813,1.0659455440444915e-13,0.0
4.167088607594937,5.408311403648252,3.794007577182201e-13,0.0
4.167088607594937,5.487845394878374,5.942446968398125e-14,0.0
4.167088607594937,5.567379386108494,1.7243488540956386e-13,0.0
4.167088607594937,5.646913377338616,4.450909296196993e-15,0.0
4.167088607594937,5.726447368568738,7.562247791859139e-14,0.0
4.167088607594937,5.805981359798858,2.1694734300036394e-13,0.0
4.167088607594937,5.88551535102898,7.408029906418148e-15,0.0
4.167088607594937,5.9650493422591016,1.9476970348411033e-14,0.0
4.167088607594937,6.044583333489222,1.2856951538823093e-14,0.0
