drive_frequency_GHz,power_at_peak_dBm
6.023698349,-14.657557280899765
6.023706353,-14.65575707636045
6.023714357,-14.569974434662566
6.023722361,-14.620102343780166
6.023730365,-14.561482210898758
6.023738369,-14.544591406382237
6.023746373,-14.50816741650483
6.023754377,-14.531700959138496
6.023762381,-14.45819446906313
6.023770385,-14.453859793738973
6.023778389,-14.447862440486778
6.023786393,-14.403645905135416
6.023794397,-14.37263157007337
6.023802401,-14.372166776350324
6.023810405,-14.355764337192433
6.023818409,-14.28160081718846
6.023826413,-14.32399106082174
6.023834417,-14.264634861046796
6.023842421,-14.251851408922732
6.023850425,-14.20869875975654
6.023858429,-14.243009337098677
6.023866433,-14.158040052541686
6.023874437,-14.16170847516148
6.023882441,-14.147632708044853
6.023890445,-14.11036501620664
6.023898449,-14.07004360197698
6.023906453,-14.076195694630858
6.023914457,-14.057589409476227
6.023922461,-13.982637421966045
6.023930465,-14.02343421691101
6.023938469,-13.963073895637995
6.023946473,-13.950240434648158
6.023954477,-13.907278510379834
6.023962481,-13.935286868832415
6.023970485,-13.851956410145672
6.023978489,-13.852032856545051
6.023986493,-13.844033646110717
6.023994497,-13.795742828116923
6.024002501,-13.767728283170968
6.024010505,-13.75887529822063
6.024018509,-13.747538833093827
6.024026513,-13.665988576536742
6.024034517,-13.71347666661803
6.024042521,-13.648118856417211
6.024050525,-13.631349610880244
6.024058529,-13.598422125389693
6.024066533,-13.606567918547674
6.024074537,-13.540882822081128
6.024082541,-13.519710322798502
6.024090545,-13.534146489521545
6.024098549,-13.45729691381499
6.024106553,-13.457423103605892
6.024114557,-13.42999918643619
6.024122561,-13.425077277106809
6.024130565,-13.344287125644827
6.024138569,-13.383624834841124
6.024146573,-13.329194487417295
6.024154577,-13.28211117642101
6.024162581,-13.290103182122044
6.024170585,-13.248893699325963
6.024178589,-13.223214419116092
6.024186593,-13.1768650536291
6.024194597,-13.209738376532194
6.024202601,-13.11889107588526
6.024210605,-13.122379185489688
6.024218609,-13.10744172501034
6.024226613,-13.05889154375942
6.024234617,-13.029548705017822
6.024242621,-13.01471537298922
6.024250625,-13.00552202008809
6.024258629,-12.919592133134952
6.024266633,-12.965933853258434
6.024274637,-12.901294687683668
6.024282641,-12.865842858032682
6.024290645,-12.858599531737283
6.024298649,-12.825552016742847
6.024306653,-12.79320062516517
6.024314657,-12.746366549867744
6.024322661,-12.77823210109341
6.024330665,-12.686555069268683
6.024338669,-12.6865115836513
6.024346673,-12.674210166553138
6.024354677,-12.615165555991132
6.024362681,-12.596010759785074
6.024370685,-12.572050189171458
6.024378689,-12.564550810582247
6.024386693,-12.480690555804596
6.024394697,-12.515652105036567
6.024402701,-12.462941675072107
6.024410705,-12.40046489968144
6.024418709,-12.4247560970669
6.024426713,-12.363380465533083
6.024434717,-12.345228195627069
6.024442721,-12.303901638700562
6.024450725,-12.307425879584208
6.024458729,-12.243468960624275
6.024466733,-12.206058511152005
6.024474737,-12.231613747185808
6.024482741,-12.137727286050248
6.024490745,-12.142327847837572
6.024498749,-12.11992602196149
6.024506753,-12.067345717107008
6.024514757,-12.040220503747063
6.024522761,-12.015883562324165
6.024530765,-12.00596803503943
6.024538769,-11.923167752906936
6.024546773,-11.947441707513802
6.024554777,-11.903654867717885
6.024562781,-11.8254203436502
6.024570785,-11.86459700051472
6.024578789,-11.794330746299815
6.024586793,-11.761934216283624
