gain,phase,side,dataset,amp_dB,err_amp_dB,log10_fwhm,dlog10_fwhm
-4.6,hermitian,left,theory,-31.750696746467888,0.025732693721781885,1.7559038663356796,0.0005769369917746091
-4.6,hermitian,right,theory,-31.913971609262873,0.025974344594537513,1.7529752127829112,0.000559511621039892
2.33,hermitian,left,theory,-26.803723974508785,0.04415299441490106,1.7192018797516182,0.001972734721282587
2.33,hermitian,right,theory,-26.98816463517217,0.04188979119506442,1.713325489241925,0.0018898863678425578
0.17,hermitian,left,theory,-28.646307327802024,0.03306767184529491,1.7310666776771133,0.0012435569190918318
0.17,hermitian,right,theory,-28.802636528128712,0.03254323346240895,1.7268770526554087,0.0011985031477684312
-2.43,hermitian,left,theory,-30.4889207915111,0.028101941247534512,1.745334675226364,0.0007890017662480627
-2.43,hermitian,right,theory,-30.64383252476913,0.028163292814234353,1.7420526888511627,0.0007632034547640441
4.07,hermitian,left,theory,-25.10124554394284,0.07564509332067715,1.712801094598927,0.00312892746461331
4.07,hermitian,right,theory,-25.36618186066992,0.06813918923322859,1.7042928234007195,0.0029584125133112994
6.23,hermitian,left,theory,-22.051568909231317,0.22324355947775487,1.6536759711764906,0.008052716546987101
6.23,hermitian,right,theory,-22.009151279746927,0.2001157623571821,1.656986464176929,0.007472747133545695
-0.27,hermitian,left,theory,-28.97992267198195,0.03193018001037373,1.7335139606467191,0.0011451661979310123
-0.27,hermitian,right,theory,-29.134689755048623,0.031560606727435214,1.7295268810904976,0.0011044870830776363
-2.0,hermitian,left,theory,-30.207682148127482,0.028704731171877995,1.7430517316636494,0.0008458152932282909
-2.0,hermitian,right,theory,-30.36175206847051,0.0287095209418311,1.7396638928033572,0.0008177305125799286
6.67,hermitian,left,theory,-21.332782344140572,0.3057022163893883,1.640177034399988,0.010564686905478238
6.67,hermitian,right,theory,-21.228724937541692,0.27511050939816784,1.6451419174920392,0.00975026893007274
-4.17,hermitian,left,theory,-31.51668942064861,0.026132999994786132,1.753910126780667,0.000611331550672313
-4.17,hermitian,right,theory,-31.67813183543291,0.026348913533183804,1.7509247815383233,0.0005925737744925404
5.8,hermitian,left,theory,-22.73535302122972,0.1689155842390342,1.6669302379651385,0.006356419537415434
5.8,hermitian,right,theory,-22.748664289108564,0.1510026305102663,1.6684642578575815,0.0059354841614605745
